4833120194200755|10|29|538
4833120194200474|10|29|538
4833120194200961|10|29|538
4833120194200078|10|29|538
4833120194200094|10|29|538
4833120194200250|10|29|538
4833120194200367|10|29|538
4833120194200532|10|29|538
4833120194200052|10|29|538
4833120194200300|10|29|538
4833120194200672|10|29|538
4833120194200664|10|29|538
4833120194200698|10|29|538
4833120194200524|10|29|538
4833120194200748|10|29|538
4833120194200847|10|29|538
4833120194200151|10|29|538
4833120194200045|10|29|538
4833120194200565|10|29|538
4833120194200789|10|29|538
